PHOX2B	SOX10	PRRX1	GATA3	SNAI2	HAND2
-8.805454	4.521883	6.615131	-13.355185	5.090397	-12.485594
-1.921271	6.684989	5.375586	-15.460681	7.089542	-7.650732
10.929333	-12.617596	-5.214914	4.512184	-9.133172	5.990435
-3.764600	-6.537216	-5.214903	-11.825975	-9.132172	-7.636967
1.998285	-8.267390	-5.214914	-10.657715	-9.133081	-6.448392
12.122679	3.748990	6.175855	2.542076	8.894417	9.308565
10.955712	-7.848448	-5.938631	6.887921	-3.971941	9.401278
-5.014339	6.886599	6.176142	-11.836293	8.895783	-4.672260
-6.197669	-4.702634	-5.938600	-7.490151	-3.969575	-4.671087
-0.153981	-3.458676	-8.516575	-12.763272	-3.553856	-5.543706
3.831452	2.021381	0.286080	-11.740309	4.049164	-4.574623
14.633981	2.015095	0.284266	1.329064	4.047696	6.779178
10.688459	-6.914457	-9.190045	1.333025	-3.563552	6.779212
9.311674	-14.328035	-4.620383	7.574284	-7.520115	6.227332
-4.636748	8.190221	6.866990	-14.056664	6.889930	-10.532292
-2.890413	-7.759197	-4.617995	-8.217908	-7.480572	-10.036973
8.017428	1.692768	6.721706	2.847200	6.313828	6.208724
-8.595831	9.040007	9.282914	-14.680192	6.329254	-8.336075
10.481601	-12.334197	-2.248045	7.350413	-9.528591	6.828064
-5.153944	-5.695282	-2.245968	-9.154319	-7.890142	-8.284114
6.999390	2.367638	9.245238	1.823927	6.180715	6.753348
8.356077	3.457187	7.098417	4.424874	7.991373	6.037657
8.136020	-14.643003	-4.883735	7.461082	-8.175787	6.040875
-10.260234	8.951547	7.098690	-10.198516	7.998033	-12.663846
-10.486863	-9.148646	-4.883735	-7.165438	-8.175787	-12.657941
2.766521	-11.466992	-3.463462	0.187083	-9.843111	-5.237319
-6.249166	-9.109073	-3.463180	-9.679940	-9.843014	-10.537370
-0.148794	6.164064	7.889014	-10.870397	6.007298	-9.243834
-6.374074	6.178258	7.889021	-13.896746	6.007299	-10.537445
-7.859815	-10.031900	-3.380123	-7.380416	-9.085635	-10.099244
8.453204	-16.481740	-3.380123	8.473938	-9.085635	4.767396
-6.482035	6.720455	6.164866	-9.137055	9.287900	-10.050526
9.830675	0.256668	6.164595	6.641106	7.027450	4.770093
9.282402	-15.924279	-3.119925	5.830851	-10.052390	6.638318
-7.978699	-10.273859	-3.119925	-10.082255	-10.052390	-4.678533
-4.379610	0.792777	5.085394	-11.558291	-1.984373	-4.678533
-7.281857	4.602567	8.013987	-15.899750	5.393904	-4.678533
-6.849763	-9.821029	-0.432852	-8.847470	-3.199677	-7.562071
9.743186	-15.606019	-0.484633	7.353042	-3.252232	7.121284
9.994773	1.745422	6.349321	2.413312	7.745103	7.071591
-6.878113	7.605473	6.349546	-13.468062	8.230611	-7.562071
7.345295	-14.457557	-1.923578	6.663909	-5.865518	8.089308
-10.306492	-9.280077	-1.914112	-4.278393	-5.764311	-0.094779
-8.743236	5.777074	5.335688	-5.845671	7.429311	-0.183722
-4.136631	3.136050	1.084586	-4.402249	-0.794757	-0.110148
-7.208917	7.469270	7.312420	-13.506856	7.440085	-13.391772
-0.844791	-3.406515	1.689139	-9.744326	-10.429356	-9.880937
9.899086	-9.560832	-2.540615	5.795853	-10.703567	4.489069
9.078194	4.399856	7.307191	2.011915	7.440021	4.463991
10.067906	-16.641351	-3.543457	5.501265	-8.047348	4.247561
9.342469	0.541279	7.051904	-3.102427	5.755927	3.672411
3.311644	1.193219	7.082482	-9.706290	5.879294	-4.919743
0.532050	5.028566	7.088596	-9.734439	5.924587	-5.274934
2.123858	3.859234	5.325266	-11.568671	6.450071	-7.445617
1.097499	-11.848531	-5.816458	-9.246376	-8.387196	-7.826993
11.029662	-13.517816	-5.816462	6.024223	-8.387196	6.305979
-2.430443	-9.021970	-5.816241	-11.251531	-8.387188	-9.273399
-7.971177	-11.474472	-4.404468	-7.657133	-10.060856	-9.989942
-10.088841	6.999281	7.926837	-12.451348	6.577378	-10.066691
7.007273	-15.682529	-4.404468	6.795408	-10.060857	4.670777
4.885572	4.370247	7.926755	1.986211	6.577377	4.464164
5.456886	-13.240301	-7.723956	6.918850	-8.946465	5.415691
-11.106117	-9.247531	-7.723956	-8.961485	-8.946465	-9.952692
-8.377252	7.431827	4.044159	-9.329591	6.702378	-9.952853
8.030351	3.153650	4.041119	6.553047	6.699745	5.418601
-7.249067	-10.472485	-3.286457	-12.264247	-6.746783	-7.552482
11.295011	-16.649476	-3.286457	6.205023	-6.746783	7.543028
0.815384	5.418756	5.303864	-8.601796	5.620436	-4.000759
-5.752781	5.431936	5.303864	-14.870679	5.620436	-7.415808
10.125733	-14.585851	-4.395615	9.013008	-10.822454	6.352001
10.438910	3.954709	7.603028	4.885589	8.246886	6.351999
