PHOX2B	SOX10	PRRX1	GATA3	SNAI2	HAND2
3.054673	-13.512730	-0.875233	2.807965	-4.182619	8.148921
-6.563800	3.085186	1.479797	-13.510088	0.796336	-6.898692
-2.943909	-11.618243	-4.511972	-17.499105	-11.106161	-8.617810
2.358847	-17.788404	-4.511972	-9.771586	-11.106161	-3.986985
-8.333979	6.399505	7.091514	-20.672428	6.286475	-8.618655
3.882800	-17.846260	-4.511972	-5.610579	-11.106161	1.692159
10.153167	-17.846562	-4.511972	0.221192	-11.106161	5.647543
4.919278	-5.774556	-6.952485	0.218770	-8.628577	5.512993
1.579800	-4.555039	-6.952473	-10.590066	-8.628577	0.717891
2.051820	-4.682182	-6.952468	-9.483053	-8.628577	0.730181
5.925668	1.691898	3.740091	-12.662093	3.706672	1.088416
-1.834126	7.631553	3.901931	-17.199527	3.968698	0.503846
5.440629	-12.967918	-1.213590	3.411001	-6.834108	6.998429
-7.241121	7.540814	6.535677	-15.510627	6.917028	2.677187
-10.289970	7.554877	6.535678	-19.994941	6.917028	-3.496622
-9.539485	-6.267909	-1.187845	-13.994327	-6.819714	-3.496619
-6.495375	-6.323898	-1.189751	-9.509766	-6.820784	2.677511
-6.104403	6.821217	6.723649	-12.935258	6.285506	-8.713532
8.376920	-11.891479	-3.838135	2.268642	-9.220279	8.696219
-8.092821	-5.740629	-3.838135	-9.121646	-7.390962	-8.713532
4.963933	0.603026	5.478675	-6.254618	5.945949	2.781366
-5.167252	0.627529	-0.282842	-9.123599	-3.618730	-8.713531
-6.064123	2.362685	-1.684189	-13.260364	-3.089819	-14.735168
4.101577	-7.230976	-7.015491	2.482593	-10.142539	4.531421
4.651444	4.657021	3.586143	2.492113	5.106721	4.531590
-11.777186	-5.014736	-6.033404	-13.260364	-10.142539	-14.735168
-11.414152	7.244752	3.638565	-13.276714	5.108262	-14.735168
2.877024	-0.487342	1.043058	-1.957466	-3.247487	5.612994
3.712853	3.921663	7.974130	-7.650120	8.971933	4.766098
-6.373065	7.042485	7.974133	-16.222209	8.971935	-7.580893
-2.378932	1.743185	1.650144	-8.480811	-0.997751	-7.580888
5.658288	-8.890497	-3.936953	3.617886	-7.099230	6.467452
-11.511829	-7.184511	-3.326834	-14.831767	-5.732643	-9.880678
-11.513591	-7.111947	-0.486618	-15.109427	0.157862	-9.880769
-6.844543	1.895881	2.524418	-18.028866	6.642545	-9.881143
4.509672	-10.022789	-3.326873	3.251378	-5.732718	4.474088
4.501297	-9.944410	-0.486746	2.972601	0.157720	4.460898
-12.408500	-4.789334	-8.036297	-14.858468	-2.548638	-6.236222
-8.658025	9.330154	3.457877	-15.278375	6.389914	-6.236222
3.808385	4.952330	3.457877	-4.077587	6.389912	5.092824
5.398145	-9.221622	-8.036319	2.338814	-2.548723	9.237559
9.110224	4.949665	3.457877	1.918860	6.389912	9.229925
1.636330	6.093743	6.294786	-10.275202	6.418911	2.669531
-8.688795	-4.002488	-3.720799	-13.631433	-10.094670	-7.555923
-9.556788	6.578860	6.302868	-19.033629	6.420343	-7.555996
5.935054	-10.375983	-5.881762	-3.395645	-10.098456	2.670462
7.920086	-10.413976	-5.883424	2.872847	-10.098456	8.868849
-9.046918	5.023293	5.129259	-11.603483	4.860167	-9.749148
-10.995118	-10.692515	-6.266720	-9.671027	-4.664505	-9.761902
